
injection: 201, rbf_PE_time: 1.53 minutes, sim_time: 4.13 minutes
injection: 202, rbf_PE_time: 1.90 minutes, sim_time: 4.39 minutes
injection: 203, rbf_PE_time: 2.14 minutes, sim_time: 4.84 minutes
injection: 204, rbf_PE_time: 1.61 minutes, sim_time: 4.26 minutes
injection: 205, rbf_PE_time: 1.98 minutes, sim_time: 4.46 minutes
injection: 206, rbf_PE_time: 1.70 minutes, sim_time: 4.40 minutes
injection: 207, rbf_PE_time: 1.69 minutes, sim_time: 4.22 minutes
injection: 208, rbf_PE_time: 1.92 minutes, sim_time: 4.35 minutes
injection: 209, rbf_PE_time: 1.54 minutes, sim_time: 3.92 minutes
injection: 210, rbf_PE_time: 1.89 minutes, sim_time: 4.63 minutes
injection: 211, rbf_PE_time: 2.00 minutes, sim_time: 5.12 minutes
injection: 212, rbf_PE_time: 1.75 minutes, sim_time: 4.24 minutes
injection: 213, rbf_PE_time: 1.93 minutes, sim_time: 4.69 minutes
injection: 214, rbf_PE_time: 2.67 minutes, sim_time: 5.24 minutes
injection: 215, rbf_PE_time: 1.70 minutes, sim_time: 4.21 minutes
injection: 216, rbf_PE_time: 1.88 minutes, sim_time: 4.56 minutes
injection: 217, rbf_PE_time: 1.97 minutes, sim_time: 4.68 minutes
injection: 218, rbf_PE_time: 1.74 minutes, sim_time: 4.17 minutes
injection: 219, rbf_PE_time: 1.79 minutes, sim_time: 4.57 minutes
injection: 220, rbf_PE_time: 1.51 minutes, sim_time: 4.10 minutes
injection: 221, rbf_PE_time: 1.73 minutes, sim_time: 3.99 minutes
injection: 222, rbf_PE_time: 1.95 minutes, sim_time: 4.22 minutes
injection: 223, rbf_PE_time: 2.68 minutes, sim_time: 5.32 minutes
injection: 224, rbf_PE_time: 1.63 minutes, sim_time: 4.34 minutes
injection: 225, rbf_PE_time: 1.61 minutes, sim_time: 4.24 minutes
injection: 226, rbf_PE_time: 2.60 minutes, sim_time: 5.30 minutes
injection: 227, rbf_PE_time: 1.97 minutes, sim_time: 4.55 minutes
injection: 228, rbf_PE_time: 1.61 minutes, sim_time: 4.16 minutes
injection: 229, rbf_PE_time: 1.68 minutes, sim_time: 4.48 minutes
injection: 230, rbf_PE_time: 1.67 minutes, sim_time: 4.25 minutes
injection: 231, rbf_PE_time: 1.75 minutes, sim_time: 4.13 minutes
injection: 232, rbf_PE_time: 1.55 minutes, sim_time: 4.31 minutes
injection: 233, rbf_PE_time: 2.17 minutes, sim_time: 4.72 minutes
injection: 234, rbf_PE_time: 1.59 minutes, sim_time: 4.03 minutes
injection: 235, rbf_PE_time: 1.82 minutes, sim_time: 4.09 minutes
injection: 236, rbf_PE_time: 1.70 minutes, sim_time: 4.39 minutes
injection: 237, rbf_PE_time: 1.63 minutes, sim_time: 4.34 minutes
injection: 238, rbf_PE_time: 1.75 minutes, sim_time: 4.24 minutes
injection: 239, rbf_PE_time: 2.69 minutes, sim_time: 5.40 minutes
injection: 240, rbf_PE_time: 1.68 minutes, sim_time: 4.44 minutes
injection: 241, rbf_PE_time: 1.79 minutes, sim_time: 4.20 minutes
injection: 242, rbf_PE_time: 1.82 minutes, sim_time: 4.14 minutes
injection: 243, rbf_PE_time: 2.02 minutes, sim_time: 4.79 minutes
injection: 244, rbf_PE_time: 2.37 minutes, sim_time: 4.99 minutes
injection: 245, rbf_PE_time: 1.90 minutes, sim_time: 4.33 minutes
injection: 246, rbf_PE_time: 1.58 minutes, sim_time: 4.26 minutes
injection: 247, rbf_PE_time: 2.55 minutes, sim_time: 5.31 minutes
injection: 248, rbf_PE_time: 2.16 minutes, sim_time: 4.63 minutes
injection: 249, rbf_PE_time: 2.14 minutes, sim_time: 4.45 minutes
injection: 250, rbf_PE_time: 2.07 minutes, sim_time: 4.74 minutes
injection: 251, rbf_PE_time: 1.72 minutes, sim_time: 4.26 minutes
injection: 252, rbf_PE_time: 1.64 minutes, sim_time: 4.27 minutes
injection: 253, rbf_PE_time: 2.57 minutes, sim_time: 5.23 minutes
injection: 254, rbf_PE_time: 1.65 minutes, sim_time: 4.19 minutes
injection: 255, rbf_PE_time: 1.81 minutes, sim_time: 4.15 minutes
injection: 256, rbf_PE_time: 1.86 minutes, sim_time: 4.06 minutes
injection: 257, rbf_PE_time: 2.02 minutes, sim_time: 4.64 minutes
injection: 258, rbf_PE_time: 2.22 minutes, sim_time: 4.88 minutes
injection: 259, rbf_PE_time: 1.70 minutes, sim_time: 4.24 minutes
injection: 260, rbf_PE_time: 1.74 minutes, sim_time: 4.48 minutes
injection: 261, rbf_PE_time: 2.21 minutes, sim_time: 4.81 minutes
